id,categorie,sous_categorie,difficulte,question,choix_a,choix_b,choix_c,choix_d,bonne_reponse,explication,reference,statut_revision,tags
DRAFT-0249,Galénique et technologie pharmaceutique,Qualité,difficile,Quelle réponse doit être privilégiée concernant stérilité ?,elle est inutile pour toute injection,elle signifie absence de principe actif,elle se contrôle seulement par l'odeur,elle est essentielle pour les préparations parentérales et ophtalmiques concernées,D,elle est essentielle pour les préparations parentérales et ophtalmiques concernées. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,qualité,stérilité"
DRAFT-0250,Galénique et technologie pharmaceutique,Qualité,moyen,Quel rappel est utile pour maîtriser stérilité ?,elle signifie absence de principe actif,elle se contrôle seulement par l'odeur,elle est essentielle pour les préparations parentérales et ophtalmiques concernées,elle est inutile pour toute injection,C,elle est essentielle pour les préparations parentérales et ophtalmiques concernées. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,qualité,stérilité"
DRAFT-0251,Galénique et technologie pharmaceutique,Formulation,facile,Quel énoncé est correct concernant excipient ?,il n'a jamais d'importance clinique,"il peut influencer stabilité, tolérance ou libération",il est toujours pharmacologiquement principal,il doit être absent de toute forme orale,B,"il peut influencer stabilité, tolérance ou libération. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,formulation,excipient"
DRAFT-0252,Galénique et technologie pharmaceutique,Formulation,moyen,"Dans une situation d'examen, quel point faut-il retenir à propos de excipient ?","il peut influencer stabilité, tolérance ou libération",il est toujours pharmacologiquement principal,il doit être absent de toute forme orale,il n'a jamais d'importance clinique,A,"il peut influencer stabilité, tolérance ou libération. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,formulation,excipient"
DRAFT-0253,Galénique et technologie pharmaceutique,Formulation,difficile,Quelle proposition correspond le mieux à excipient ?,il est toujours pharmacologiquement principal,il doit être absent de toute forme orale,il n'a jamais d'importance clinique,"il peut influencer stabilité, tolérance ou libération",D,"il peut influencer stabilité, tolérance ou libération. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,formulation,excipient"
DRAFT-0254,Galénique et technologie pharmaceutique,Formulation,moyen,Quel élément est prioritaire lorsque l'on évalue excipient ?,il doit être absent de toute forme orale,il n'a jamais d'importance clinique,"il peut influencer stabilité, tolérance ou libération",il est toujours pharmacologiquement principal,C,"il peut influencer stabilité, tolérance ou libération. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,formulation,excipient"
DRAFT-0255,Galénique et technologie pharmaceutique,Formulation,facile,Quelle affirmation est la plus juste au sujet de excipient ?,il n'a jamais d'importance clinique,"il peut influencer stabilité, tolérance ou libération",il est toujours pharmacologiquement principal,il doit être absent de toute forme orale,B,"il peut influencer stabilité, tolérance ou libération. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,formulation,excipient"
DRAFT-0256,Galénique et technologie pharmaceutique,Formulation,facile,"Pour une révision rapide, quelle réponse décrit correctement excipient ?","il peut influencer stabilité, tolérance ou libération",il est toujours pharmacologiquement principal,il doit être absent de toute forme orale,il n'a jamais d'importance clinique,A,"il peut influencer stabilité, tolérance ou libération. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,formulation,excipient"
DRAFT-0257,Galénique et technologie pharmaceutique,Formulation,moyen,Quel choix serait attendu pour une question centrée sur excipient ?,il est toujours pharmacologiquement principal,il doit être absent de toute forme orale,il n'a jamais d'importance clinique,"il peut influencer stabilité, tolérance ou libération",D,"il peut influencer stabilité, tolérance ou libération. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,formulation,excipient"
DRAFT-0258,Galénique et technologie pharmaceutique,Formulation,difficile,Quelle notion est associée de façon pertinente à excipient ?,il doit être absent de toute forme orale,il n'a jamais d'importance clinique,"il peut influencer stabilité, tolérance ou libération",il est toujours pharmacologiquement principal,C,"il peut influencer stabilité, tolérance ou libération. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,formulation,excipient"
DRAFT-0259,Galénique et technologie pharmaceutique,Formulation,moyen,Quelle réponse doit être privilégiée concernant excipient ?,il n'a jamais d'importance clinique,"il peut influencer stabilité, tolérance ou libération",il est toujours pharmacologiquement principal,il doit être absent de toute forme orale,B,"il peut influencer stabilité, tolérance ou libération. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,formulation,excipient"
DRAFT-0260,Galénique et technologie pharmaceutique,Formulation,facile,Quel rappel est utile pour maîtriser excipient ?,"il peut influencer stabilité, tolérance ou libération",il est toujours pharmacologiquement principal,il doit être absent de toute forme orale,il n'a jamais d'importance clinique,A,"il peut influencer stabilité, tolérance ou libération. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,formulation,excipient"
DRAFT-0261,Galénique et technologie pharmaceutique,Dermatologie,moyen,Quel énoncé est correct concernant pommade ?,elle est toujours destinée à l'injection,elle est forcément aqueuse à 100 %,elle remplace une forme inhalée,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas,D,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,dermatologie,pommade"
DRAFT-0262,Galénique et technologie pharmaceutique,Dermatologie,difficile,"Dans une situation d'examen, quel point faut-il retenir à propos de pommade ?",elle est forcément aqueuse à 100 %,elle remplace une forme inhalée,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas,elle est toujours destinée à l'injection,C,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,dermatologie,pommade"
DRAFT-0263,Galénique et technologie pharmaceutique,Dermatologie,moyen,Quelle proposition correspond le mieux à pommade ?,elle remplace une forme inhalée,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas,elle est toujours destinée à l'injection,elle est forcément aqueuse à 100 %,B,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,dermatologie,pommade"
DRAFT-0264,Galénique et technologie pharmaceutique,Dermatologie,facile,Quel élément est prioritaire lorsque l'on évalue pommade ?,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas,elle est toujours destinée à l'injection,elle est forcément aqueuse à 100 %,elle remplace une forme inhalée,A,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,dermatologie,pommade"
DRAFT-0265,Galénique et technologie pharmaceutique,Dermatologie,facile,Quelle affirmation est la plus juste au sujet de pommade ?,elle est toujours destinée à l'injection,elle est forcément aqueuse à 100 %,elle remplace une forme inhalée,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas,D,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,dermatologie,pommade"
DRAFT-0266,Galénique et technologie pharmaceutique,Dermatologie,moyen,"Pour une révision rapide, quelle réponse décrit correctement pommade ?",elle est forcément aqueuse à 100 %,elle remplace une forme inhalée,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas,elle est toujours destinée à l'injection,C,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,dermatologie,pommade"
DRAFT-0267,Galénique et technologie pharmaceutique,Dermatologie,difficile,Quel choix serait attendu pour une question centrée sur pommade ?,elle remplace une forme inhalée,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas,elle est toujours destinée à l'injection,elle est forcément aqueuse à 100 %,B,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,dermatologie,pommade"
DRAFT-0268,Galénique et technologie pharmaceutique,Dermatologie,moyen,Quelle notion est associée de façon pertinente à pommade ?,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas,elle est toujours destinée à l'injection,elle est forcément aqueuse à 100 %,elle remplace une forme inhalée,A,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,dermatologie,pommade"
DRAFT-0269,Galénique et technologie pharmaceutique,Dermatologie,facile,Quelle réponse doit être privilégiée concernant pommade ?,elle est toujours destinée à l'injection,elle est forcément aqueuse à 100 %,elle remplace une forme inhalée,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas,D,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,dermatologie,pommade"
DRAFT-0270,Galénique et technologie pharmaceutique,Dermatologie,facile,Quel rappel est utile pour maîtriser pommade ?,elle est forcément aqueuse à 100 %,elle remplace une forme inhalée,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas,elle est toujours destinée à l'injection,C,elle est une forme semi-solide pour application cutanée ou muqueuse selon le cas. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,dermatologie,pommade"
DRAFT-0271,Galénique et technologie pharmaceutique,Conditionnement,difficile,Quel énoncé est correct concernant conditionnement primaire ?,il est toujours jeté avant fabrication,il est en contact direct avec le médicament,il correspond uniquement au carton d'expédition,il ne joue aucun rôle de protection,B,il est en contact direct avec le médicament. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,conditionnement,conditionnement primaire"
DRAFT-0272,Galénique et technologie pharmaceutique,Conditionnement,moyen,"Dans une situation d'examen, quel point faut-il retenir à propos de conditionnement primaire ?",il est en contact direct avec le médicament,il correspond uniquement au carton d'expédition,il ne joue aucun rôle de protection,il est toujours jeté avant fabrication,A,il est en contact direct avec le médicament. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,conditionnement,conditionnement primaire"
DRAFT-0273,Galénique et technologie pharmaceutique,Conditionnement,facile,Quelle proposition correspond le mieux à conditionnement primaire ?,il correspond uniquement au carton d'expédition,il ne joue aucun rôle de protection,il est toujours jeté avant fabrication,il est en contact direct avec le médicament,D,il est en contact direct avec le médicament. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,conditionnement,conditionnement primaire"
DRAFT-0274,Galénique et technologie pharmaceutique,Conditionnement,facile,Quel élément est prioritaire lorsque l'on évalue conditionnement primaire ?,il ne joue aucun rôle de protection,il est toujours jeté avant fabrication,il est en contact direct avec le médicament,il correspond uniquement au carton d'expédition,C,il est en contact direct avec le médicament. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,conditionnement,conditionnement primaire"
DRAFT-0275,Galénique et technologie pharmaceutique,Conditionnement,moyen,Quelle affirmation est la plus juste au sujet de conditionnement primaire ?,il est toujours jeté avant fabrication,il est en contact direct avec le médicament,il correspond uniquement au carton d'expédition,il ne joue aucun rôle de protection,B,il est en contact direct avec le médicament. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,conditionnement,conditionnement primaire"
DRAFT-0276,Galénique et technologie pharmaceutique,Conditionnement,difficile,"Pour une révision rapide, quelle réponse décrit correctement conditionnement primaire ?",il est en contact direct avec le médicament,il correspond uniquement au carton d'expédition,il ne joue aucun rôle de protection,il est toujours jeté avant fabrication,A,il est en contact direct avec le médicament. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,conditionnement,conditionnement primaire"
DRAFT-0277,Galénique et technologie pharmaceutique,Conditionnement,moyen,Quel choix serait attendu pour une question centrée sur conditionnement primaire ?,il correspond uniquement au carton d'expédition,il ne joue aucun rôle de protection,il est toujours jeté avant fabrication,il est en contact direct avec le médicament,D,il est en contact direct avec le médicament. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,conditionnement,conditionnement primaire"
DRAFT-0278,Galénique et technologie pharmaceutique,Conditionnement,facile,Quelle notion est associée de façon pertinente à conditionnement primaire ?,il ne joue aucun rôle de protection,il est toujours jeté avant fabrication,il est en contact direct avec le médicament,il correspond uniquement au carton d'expédition,C,il est en contact direct avec le médicament. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,conditionnement,conditionnement primaire"
DRAFT-0279,Galénique et technologie pharmaceutique,Conditionnement,facile,Quelle réponse doit être privilégiée concernant conditionnement primaire ?,il est toujours jeté avant fabrication,il est en contact direct avec le médicament,il correspond uniquement au carton d'expédition,il ne joue aucun rôle de protection,B,il est en contact direct avec le médicament. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,conditionnement,conditionnement primaire"
DRAFT-0280,Galénique et technologie pharmaceutique,Conditionnement,moyen,Quel rappel est utile pour maîtriser conditionnement primaire ?,il est en contact direct avec le médicament,il correspond uniquement au carton d'expédition,il ne joue aucun rôle de protection,il est toujours jeté avant fabrication,A,il est en contact direct avec le médicament. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,conditionnement,conditionnement primaire"
DRAFT-0281,Galénique et technologie pharmaceutique,Stabilité,moyen,Quel énoncé est correct concernant stabilité ?,elle est indépendante du stockage,elle augmente toujours après péremption,elle ne concerne que les dispositifs électroniques,"elle dépend notamment de la température, de la lumière et de l'humidité",D,"elle dépend notamment de la température, de la lumière et de l'humidité. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,stabilité,stabilité"
DRAFT-0282,Galénique et technologie pharmaceutique,Stabilité,facile,"Dans une situation d'examen, quel point faut-il retenir à propos de stabilité ?",elle augmente toujours après péremption,elle ne concerne que les dispositifs électroniques,"elle dépend notamment de la température, de la lumière et de l'humidité",elle est indépendante du stockage,C,"elle dépend notamment de la température, de la lumière et de l'humidité. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,stabilité,stabilité"
DRAFT-0283,Galénique et technologie pharmaceutique,Stabilité,facile,Quelle proposition correspond le mieux à stabilité ?,elle ne concerne que les dispositifs électroniques,"elle dépend notamment de la température, de la lumière et de l'humidité",elle est indépendante du stockage,elle augmente toujours après péremption,B,"elle dépend notamment de la température, de la lumière et de l'humidité. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,stabilité,stabilité"
DRAFT-0284,Galénique et technologie pharmaceutique,Stabilité,moyen,Quel élément est prioritaire lorsque l'on évalue stabilité ?,"elle dépend notamment de la température, de la lumière et de l'humidité",elle est indépendante du stockage,elle augmente toujours après péremption,elle ne concerne que les dispositifs électroniques,A,"elle dépend notamment de la température, de la lumière et de l'humidité. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,stabilité,stabilité"
DRAFT-0285,Galénique et technologie pharmaceutique,Stabilité,difficile,Quelle affirmation est la plus juste au sujet de stabilité ?,elle est indépendante du stockage,elle augmente toujours après péremption,elle ne concerne que les dispositifs électroniques,"elle dépend notamment de la température, de la lumière et de l'humidité",D,"elle dépend notamment de la température, de la lumière et de l'humidité. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,stabilité,stabilité"
DRAFT-0286,Galénique et technologie pharmaceutique,Stabilité,moyen,"Pour une révision rapide, quelle réponse décrit correctement stabilité ?",elle augmente toujours après péremption,elle ne concerne que les dispositifs électroniques,"elle dépend notamment de la température, de la lumière et de l'humidité",elle est indépendante du stockage,C,"elle dépend notamment de la température, de la lumière et de l'humidité. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,stabilité,stabilité"
DRAFT-0287,Galénique et technologie pharmaceutique,Stabilité,facile,Quel choix serait attendu pour une question centrée sur stabilité ?,elle ne concerne que les dispositifs électroniques,"elle dépend notamment de la température, de la lumière et de l'humidité",elle est indépendante du stockage,elle augmente toujours après péremption,B,"elle dépend notamment de la température, de la lumière et de l'humidité. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,stabilité,stabilité"
DRAFT-0288,Galénique et technologie pharmaceutique,Stabilité,facile,Quelle notion est associée de façon pertinente à stabilité ?,"elle dépend notamment de la température, de la lumière et de l'humidité",elle est indépendante du stockage,elle augmente toujours après péremption,elle ne concerne que les dispositifs électroniques,A,"elle dépend notamment de la température, de la lumière et de l'humidité. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,stabilité,stabilité"
DRAFT-0289,Galénique et technologie pharmaceutique,Stabilité,moyen,Quelle réponse doit être privilégiée concernant stabilité ?,elle est indépendante du stockage,elle augmente toujours après péremption,elle ne concerne que les dispositifs électroniques,"elle dépend notamment de la température, de la lumière et de l'humidité",D,"elle dépend notamment de la température, de la lumière et de l'humidité. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,stabilité,stabilité"
DRAFT-0290,Galénique et technologie pharmaceutique,Stabilité,difficile,Quel rappel est utile pour maîtriser stabilité ?,elle augmente toujours après péremption,elle ne concerne que les dispositifs électroniques,"elle dépend notamment de la température, de la lumière et de l'humidité",elle est indépendante du stockage,C,"elle dépend notamment de la température, de la lumière et de l'humidité. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.","Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,stabilité,stabilité"
DRAFT-0291,Galénique et technologie pharmaceutique,Préparations,facile,Quel énoncé est correct concernant préparation magistrale ?,elle est exclusivement vétérinaire,elle est préparée pour un patient déterminé selon une prescription,elle est toujours fabriquée en millions d'unités,elle n'exige aucune traçabilité,B,elle est préparée pour un patient déterminé selon une prescription. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,préparations,préparation magistrale"
DRAFT-0292,Galénique et technologie pharmaceutique,Préparations,facile,"Dans une situation d'examen, quel point faut-il retenir à propos de préparation magistrale ?",elle est préparée pour un patient déterminé selon une prescription,elle est toujours fabriquée en millions d'unités,elle n'exige aucune traçabilité,elle est exclusivement vétérinaire,A,elle est préparée pour un patient déterminé selon une prescription. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,préparations,préparation magistrale"
DRAFT-0293,Galénique et technologie pharmaceutique,Préparations,moyen,Quelle proposition correspond le mieux à préparation magistrale ?,elle est toujours fabriquée en millions d'unités,elle n'exige aucune traçabilité,elle est exclusivement vétérinaire,elle est préparée pour un patient déterminé selon une prescription,D,elle est préparée pour un patient déterminé selon une prescription. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,préparations,préparation magistrale"
DRAFT-0294,Galénique et technologie pharmaceutique,Préparations,difficile,Quel élément est prioritaire lorsque l'on évalue préparation magistrale ?,elle n'exige aucune traçabilité,elle est exclusivement vétérinaire,elle est préparée pour un patient déterminé selon une prescription,elle est toujours fabriquée en millions d'unités,C,elle est préparée pour un patient déterminé selon une prescription. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,préparations,préparation magistrale"
DRAFT-0295,Galénique et technologie pharmaceutique,Préparations,moyen,Quelle affirmation est la plus juste au sujet de préparation magistrale ?,elle est exclusivement vétérinaire,elle est préparée pour un patient déterminé selon une prescription,elle est toujours fabriquée en millions d'unités,elle n'exige aucune traçabilité,B,elle est préparée pour un patient déterminé selon une prescription. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,préparations,préparation magistrale"
DRAFT-0296,Galénique et technologie pharmaceutique,Préparations,facile,"Pour une révision rapide, quelle réponse décrit correctement préparation magistrale ?",elle est préparée pour un patient déterminé selon une prescription,elle est toujours fabriquée en millions d'unités,elle n'exige aucune traçabilité,elle est exclusivement vétérinaire,A,elle est préparée pour un patient déterminé selon une prescription. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,préparations,préparation magistrale"
DRAFT-0297,Galénique et technologie pharmaceutique,Préparations,facile,Quel choix serait attendu pour une question centrée sur préparation magistrale ?,elle est toujours fabriquée en millions d'unités,elle n'exige aucune traçabilité,elle est exclusivement vétérinaire,elle est préparée pour un patient déterminé selon une prescription,D,elle est préparée pour un patient déterminé selon une prescription. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,préparations,préparation magistrale"
DRAFT-0298,Galénique et technologie pharmaceutique,Préparations,moyen,Quelle notion est associée de façon pertinente à préparation magistrale ?,elle n'exige aucune traçabilité,elle est exclusivement vétérinaire,elle est préparée pour un patient déterminé selon une prescription,elle est toujours fabriquée en millions d'unités,C,elle est préparée pour un patient déterminé selon une prescription. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,préparations,préparation magistrale"
DRAFT-0299,Galénique et technologie pharmaceutique,Préparations,difficile,Quelle réponse doit être privilégiée concernant préparation magistrale ?,elle est exclusivement vétérinaire,elle est préparée pour un patient déterminé selon une prescription,elle est toujours fabriquée en millions d'unités,elle n'exige aucune traçabilité,B,elle est préparée pour un patient déterminé selon une prescription. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,préparations,préparation magistrale"
DRAFT-0300,Galénique et technologie pharmaceutique,Préparations,moyen,Quel rappel est utile pour maîtriser préparation magistrale ?,elle est préparée pour un patient déterminé selon une prescription,elle est toujours fabriquée en millions d'unités,elle n'exige aucune traçabilité,elle est exclusivement vétérinaire,A,elle est préparée pour un patient déterminé selon une prescription. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: pharmacopée, formes galéniques et bonnes pratiques de fabrication",a_verifier,"généré,préparations,préparation magistrale"
DRAFT-0301,Chimie pharmaceutique et analyse,Chimie générale,facile,Quel énoncé est correct concernant pH ?,il mesure la masse d'un comprimé,il indique toujours la stérilité,il remplace une chromatographie,il exprime l'acidité ou la basicité d'une solution,D,il exprime l'acidité ou la basicité d'une solution. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: chimie analytique, contrôle qualité et pharmacopée",a_verifier,"généré,chimie générale,ph"
DRAFT-0302,Chimie pharmaceutique et analyse,Chimie générale,moyen,"Dans une situation d'examen, quel point faut-il retenir à propos de pH ?",il indique toujours la stérilité,il remplace une chromatographie,il exprime l'acidité ou la basicité d'une solution,il mesure la masse d'un comprimé,C,il exprime l'acidité ou la basicité d'une solution. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,"Référence pharmaceutique à vérifier: chimie analytique, contrôle qualité et pharmacopée",a_verifier,"généré,chimie générale,ph"
